district	amt	amt_ratio	contracts	cont_ratio	avg_fundingDuration	fundingDurationRatio
3403	146973.01	0.0018	8	0.0155	0	0.0
3405	114263.43	0.0018	14	0.0271	0	0.0
3404	38507.28	0.0018	10	0.0194	0	0.0
3407	510458.46	0.0022	24	0.0465	1	0.0005
3406	1130885.34	0.0027	11	0.0213	166	0.091
3409	923495.16	0.0025	14	0.0271	9	0.0049
3408	-2356.7	0.0017	1	0.0019	0	0.0
4401	1642182.56	0.0031	12	0.0233	209	0.1145
4402	297379.12	0.002	11	0.0213	0	0.0
5000	832623.26	0.0024	10	0.0194	0	0.0
407	273435.1	0.002	3	0.0058	50	0.0274
903	2184436.72	0.0035	27	0.0523	288	0.1578
630	61483346.27	0.0529	19	0.0368	47	0.0258
3610	9118235.8	0.0093	46	0.0891	354	0.194
3612	214614.25	0.0019	15	0.0291	0	0.0
3613	1407445.0	0.0029	5	0.0097	851	0.4663
3614	203470.0	0.0019	9	0.0174	0	0.0
3616	36018.71	0.0018	5	0.0097	0	0.0
3617	156697.01	0.0019	8	0.0155	0	0.0
3618	21804.95	0.0017	3	0.0058	0	0.0
3619	129952.99	0.0018	5	0.0097	54	0.0296
3000	4418195.45	0.0054	30	0.0581	425	0.2329
2802	10845.6	0.0017	3	0.0058	0	0.0
601	239469.7	0.0019	5	0.0097	0	0.0
2801	575317.0	0.0022	3	0.0058	971	0.5321
2804	-2075981.85	0.0	20	0.0388	45	0.0247
2201	5254.57	0.0017	5	0.0097	0	0.0
2202	8076066.74	0.0084	26	0.0504	43	0.0236
2205	-55.77	0.0017	1	0.0019	0	0.0
2206	214064.26	0.0019	5	0.0097	0	0.0
406	1081534.77	0.0026	10	0.0194	30	0.0164
602	756035.74	0.0024	38	0.0736	0	0.0
405	208817.76	0.0019	6	0.0116	30	0.0164
404	-378.16	0.0017	1	0.0019	0	0.0
403	8364250.85	0.0087	59	0.1143	379	0.2077
503	259489.0	0.0019	1	0.0019	443	0.2427
402	3292528.66	0.0045	29	0.0562	368	0.2016
1212	312407.54	0.002	8	0.0155	0	0.0
1213	197581.04	0.0019	13	0.0252	0	0.0
632	462312.7	0.0021	12	0.0233	106	0.0581
633	355471944.24	0.2973	169	0.3275	179	0.0981
634	9656702.93	0.0098	26	0.0504	164	0.0899
635	-33122.42	0.0017	5	0.0097	0	0.0
1214	835489.93	0.0024	10	0.0194	0	0.0
637	2029507.01	0.0034	14	0.0271	359	0.1967
638	87059.05	0.0018	21	0.0407	0	0.0
639	283590.06	0.002	8	0.0155	0	0.0
1218	263662.47	0.0019	8	0.0155	0	0.0
1219	20413.15	0.0017	2	0.0039	0	0.0
608	307361.0	0.002	4	0.0078	0	0.0
4810	446917.15	0.0021	22	0.0426	20	0.011
4831	4237690.47	0.0053	132	0.2558	0	0.0
4830	785535.12	0.0024	5	0.0097	198	0.1085
4833	101875.6	0.0018	3	0.0058	0	0.0
4832	825099.12	0.0024	8	0.0155	182	0.0997
4835	239924.0	0.0019	2	0.0039	364	0.1995
4836	627875031.42	0.5238	141	0.2733	39	0.0214
409	63932613.3	0.0549	51	0.0988	255	0.1397
1100	8916809.89	0.0091	160	0.3101	215	0.1178
2103	24258.0	0.0017	1	0.0019	55	0.0301
2102	-59190.14	0.0017	2	0.0039	0	0.0
2101	79979.0	0.0018	1	0.0019	0	0.0
2106	144825.18	0.0018	6	0.0116	142	0.0778
2104	68330.68	0.0018	5	0.0097	303	0.166
5111	126291268.28	0.1067	466	0.9031	42	0.023
5110	119398996.73	0.101	375	0.7267	11	0.006
7200	232792.34	0.0019	4	0.0078	499	0.2734
3916	4400537.32	0.0054	179	0.3469	7	0.0038
3915	2314656.64	0.0037	16	0.031	69	0.0378
3914	2585788.66	0.0039	52	0.1008	0	0.0
3913	210820.17	0.0019	8	0.0155	87	0.0477
3912	38355.17	0.0018	9	0.0174	0	0.0
3911	10556257.32	0.0105	119	0.2306	343	0.1879
3910	4743616.55	0.0057	39	0.0756	3	0.0016
5310	14675.0	0.0017	1	0.0019	0	0.0
1601	1471959.94	0.003	8	0.0155	505	0.2767
1602	364066.0	0.002	2	0.0039	936	0.5129
803	162929.28	0.0019	2	0.0039	365	0.2
802	223302842.41	0.1874	334	0.6473	297	0.1627
801	816496.52	0.0024	12	0.0233	0	0.0
807	9145989.67	0.0093	145	0.281	34	0.0186
806	162434437.3	0.1368	16	0.031	58	0.0318
805	3310582.08	0.0045	16	0.031	0	0.0
804	3907501.38	0.005	76	0.1473	14	0.0077
4707	-109391.21	0.0016	6	0.0116	0	0.0
4706	189916428.26	0.1597	112	0.2171	70	0.0384
4705	988304.04	0.0025	9	0.0174	606	0.3321
4704	164540.0	0.0019	2	0.0039	0	0.0
4703	639801.47	0.0023	9	0.0174	28	0.0153
4702	2073203.43	0.0035	54	0.1047	44	0.0241
4701	43733.54	0.0018	3	0.0058	0	0.0
4709	984.73	0.0017	2	0.0039	0	0.0
3628	358746.0	0.002	2	0.0039	693	0.3797
4208	2786820.23	0.004	28	0.0543	26	0.0142
4209	8235.0	0.0017	1	0.0019	0	0.0
5600	1003575.92	0.0026	9	0.0174	257	0.1408
2803	15429314.14	0.0146	17	0.0329	64	0.0351
4202	1060762.58	0.0026	20	0.0388	440	0.2411
4203	275970.97	0.002	10	0.0194	0	0.0
4206	2266210.77	0.0036	36	0.0698	0	0.0
4207	649648.12	0.0023	25	0.0484	76	0.0416
4204	48891.15	0.0018	31	0.0601	0	0.0
4205	6679134.69	0.0073	60	0.1163	402	0.2203
4802	822385.96	0.0024	18	0.0349	453	0.2482
4803	1942577.41	0.0033	25	0.0484	57	0.0312
4804	3435.0	0.0017	1	0.0019	0	0.0
4805	11265.0	0.0017	1	0.0019	0	0.0
4806	533927.6	0.0022	35	0.0678	49	0.0268
4807	10060521.05	0.0101	68	0.1318	38	0.0208
4808	148642.0	0.0018	3	0.0058	0	0.0
