vendorName,streetAddress,ZIPCode,city,state,countryCode,congressionalDistrictCode,annualRevenue,numberOfEmployees,PIID,modNumber,transactionNumber,obligatedAmount,majorProgramCode,mainAccountCode,placeOfPerformanceZIPCode,placeOfPerformanceCongressionalDistrict,placeOfPerformanceCountryCode,placeOfPerformanceStateCode,signedDate,effectiveDate,currentCompletionDate,ultimateCompletionDate,fundedThroughDate,principalNAICSCode,countryOfOrigin,placeOfManufacture
Aecom Technical Services Incorporated,515 S Flower St Fl 4,900712201,Los Angeles,CA,USA,34,6099999744,45000,NNA13AA14C,82,0,561881.18,,122,940350001,18,USA,CA,2014-04-04 00:00:00,2014-04-04 00:00:00,2014-10-31 00:00:00,2017-10-31 00:00:00,2014-10-31 00:00:00,541310,USA,C
Booz Allen Hamilton Incorporated,8283 Greensboro Dr,221023830,Mclean,VA,USA,11,2037927040,12000,NNJ14RA26T,0,0,723997,STRATEGIC ASSESSMENT CONTRACT (SAC),124,221023830,11,USA,VA,2014-04-04 00:00:00,2014-04-04 00:00:00,2014-09-30 00:00:00,2014-09-30 00:00:00,,541330,USA,C
Ied Construction Incorporated,1011 El Solyo Heights Dr,950189334,Felton,CA,USA,18,800000,2,NNA14PC43W,0,0,4145,,124,940350001,18,USA,CA,2014-04-06 00:00:00,2014-04-06 00:00:00,2014-04-10 00:00:00,2014-04-10 00:00:00,,561210,USA,C
Excalibur Associates Incorporated,8687 W 108th Ave,800216100,Westminster,CO,USA,7,17362886,104,NNM12AA08C,38,0,-485332,,122,358120001,5,USA,AL,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-09-30 00:00:00,2016-12-31 00:00:00,2014-09-30 00:00:00,561612,USA,C
Cornell University Incorporated,373 Pine Tree Rd,148502820,Ithaca,NY,USA,23,3000000000,11500,NNM08AA26C,8,0,-283695,STARDUST NEW EXPLORATION OF TEMPEL 1 (NEXT),120,148532801,23,USA,NY,2014-04-07 00:00:00,2014-04-07 00:00:00,2013-09-30 00:00:00,2013-09-30 00:00:00,,541712,USA,C
The University Of Texas At Austin,101 E. 27th St. Room 4.308,787121500,Austin,TX,USA,25,100000,23294,NNX08AD58G,7,0,-56932.8,,122,787121500,25,USA,TX,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,,,
Bay Area Environmental Research Institute Incorporated,560 Third St W,954766502,Sonoma,CA,USA,5,4500000,43,NNA12AC04G,2,0,-39225.3,ARSENIC&OLD LIFE,120,954766502,5,USA,CA,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,,,,
Pae Applied Technologies Llc,6500 West Freeway Ste 600,761162118,Fort Worth,TX,USA,12,14,77000,NNJ08JA02C,427,0,-17384,,122,770583607,36,USA,TX,2014-04-07 00:00:00,2014-04-07 00:00:00,2015-02-28 00:00:00,2018-02-28 00:00:00,2014-07-31 00:00:00,561210,USA,C
The Regents Of The University Of California,2150 Shattuck Ave Rm 313,947045940,Berkeley,CA,USA,13,962569984,19000,NNX08AK56G,8,0,-15961.5,,120,947045940,13,USA,CA,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,,,
Semi Usa Corporation,2800 Post Oak Blvd Ste 5858,770566119,Houston,TX,USA,7,27000000512,163000,NNG13AZ04C,23,0,-5773.13,,130,207710003,5,USA,MD,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-10-15 00:00:00,2014-10-15 00:00:00,,236220,USA,C
Deerpath Corporation,2095 Niles Rd Ste 1,490852473,Saint Joseph,MI,USA,6,5783709,379,NNC14QA23P,2,0,-2421,,126,490852473,6,USA,MI,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-10 00:00:00,2014-05-05 00:00:00,,237110,USA,D
Universities Space Research Association,10211 Wincopin Cir 500,210443405,Columbia,MD,USA,7,68573024,470,NNX12AE57G,2,0,-221.42,BAT CYCLE 7 TRIGGERED TARGET OF OPPORTUNITY OBSERVATIONS WITH SWIFT,120,210443405,7,USA,MD,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,,,,
Johns Hopkins University,3400 N Charles St W400 Wyman Park Bldg,212182680,Baltimore,MD,USA,7,3100000000,25000,NNC13VC12P,3,0,-155,,115,212182680,7,USA,MD,2014-04-07 00:00:00,2014-04-07 00:00:00,2013-12-14 00:00:00,2013-12-15 00:00:00,,611310,USA,C
University Corporation For Atmospheric Research,3150 Center Green Drive,803012252,Boulder,CO,USA,2,242076000,1496,NNX12AG99G,2,0,-43.6,WHOLE AIR SAMPLING AND ANALYSIS OF ORGANIC TRACE GASES FROM A HIGH ALTITUDE,120,803012252,2,USA,CO,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,,,,
Colorado State University,601 S Howes St,805230001,Fort Collins,CO,USA,,775000000,7500,NNX10AG92G,3,0,-14.78,ENSEMBLE-BASED ASSIMILATION AND DOWNSCALING OF THE GPM-LIKE SATELLITE PRECIPITATION INFORMATION,120,805232002,2,USA,CO,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,,,
Oregon State University,Kerr Administration B306,973318507,Corvallis,OR,USA,4,335000000,5200,NNX11AQ68G,3,0,-7.14,,120,973318507,4,USA,OR,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-07 00:00:00,,,
Aeronautical Technology Incorporated,3333 E Spring St,908062448,Long Beach,CA,USA,47,7000000,35,NND14CCC66W,0,0,135,"SUPPLY AND REPAIR OF AIRCRAFT PARTS FOR B747SP, B-200, GII/GIII, AND DC-8",126,935230273,23,USA,CA,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-11 00:00:00,2014-04-11 00:00:00,,336413,USA,D
Georgetown University (the),3333 K St Nw Ste 112,200073554,Washington,DC,USA,0,3338487,10,NNH13CH20B,8,0,728,CONGRESSIONAL OPERATIONS SEMINAR,122,200041011,0,USA,DC,2014-04-07 00:00:00,2014-04-07 00:00:00,2017-12-03 00:00:00,2017-12-03 00:00:00,2017-12-06 00:00:00,611430,USA,C
Booz Allen Hamilton Incorporated,8283 Greensboro Dr,221024904,Mclean,VA,USA,11,3300000000,20685,NNC14TA37T,1,0,2858.82,,122,441353127,16,USA,OH,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-07-31 00:00:00,2014-07-31 00:00:00,2014-06-30 00:00:00,541611,USA,C
Countertrade Products Incorporated,7585 W 66th Ave,800033969,Arvada,CO,USA,7,74000000,48,NND14AA97P,0,0,3766.88,,126,935230273,23,USA,CA,2014-04-07 00:00:00,2014-04-07 00:00:00,2015-03-31 00:00:00,2015-03-31 00:00:00,,541519,USA,D
Intel Corporation,2200 Mission College Blvd,950541537,Santa Clara,CA,USA,17,38000001024,88600,NNL14AA48T,2,0,3824.25,,122,950541537,17,USA,CA,2014-04-07 00:00:00,2014-04-07 00:00:00,2015-02-14 00:00:00,2015-02-14 00:00:00,,511210,USA,C
Comsol Incorporated,1 New England Executive Park Ste 350,18035001,Burlington,MA,USA,6,35000000,300,NNC14VA73P,0,0,4796,,131,18035001,6,USA,MA,2014-04-07 00:00:00,2014-04-07 00:00:00,2015-03-31 00:00:00,2015-03-31 00:00:00,,511210,USA,C
Technical Communities Incorporated,1111 Bayhill Dr Ste 400,940662305,San Bruno,CA,USA,14,15000000,26,NNC14DC28D,0,0,8835,,115,940663043,14,USA,CA,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-06-11 00:00:00,2014-06-11 00:00:00,,334513,USA,C
Tech-solutions Incorporated,166 Valley Stone Road,358118255,Huntsville,AL,USA,5,70000,1,NNX14TB91P,0,0,12425,,4546,358120001,5,USA,AL,2014-04-07 00:00:00,2014-06-04 00:00:00,2014-06-10 00:00:00,2014-06-10 00:00:00,,611710,USA,C
Lowell Observatory,1400 W Mars Hill Rd,860014470,Flagstaff,AZ,USA,1,0,0,NNX14AG33G,0,0,12769,"SEASONAL PHOTOMETRIC VARIABILITY OF TITAN, URANUS, AND NEPTUNE",120,860014470,1,USA,AZ,2014-04-07 00:00:00,2014-03-26 00:00:00,2017-03-25 00:00:00,2017-03-25 00:00:00,2017-03-25 00:00:00,,,
Technica Corporation,22970 Indian Creek Drive,201666714,Sterling,VA,USA,10,72666664,165,NNK14LA45D,0,0,13964.56,,115,201666714,10,USA,VA,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-05-06 00:00:00,2014-05-15 00:00:00,,541519,USA,D
Thermo Electron North America Llc,1400 N Point Pkwy Ste 10,334071976,West Palm Beach,FL,USA,20,15000000512,39000,NNG14LJ16P,0,0,15948,,122,334071976,20,USA,FL,2014-04-07 00:00:00,2014-04-07 00:00:00,2015-03-01 00:00:00,2015-03-01 00:00:00,,811219,USA,C
G C Micro Corporation,3910 Cypress Drive,949545694,Petaluma,CA,USA,2,33000000,30,NNJ14JC66D,0,0,16112.18,,115,949545694,2,USA,CA,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-05-07 00:00:00,2014-05-07 00:00:00,,541519,USA,D
Zin Technologies Incorporated,6745 Engle Rd Ste 105,441307994,Middleburg Heights,OH,USA,16,23300000,125,NNC09JG01D,64,0,18419,DELIVERY ORDER NO 101 FLUIDS AND COMBUSTION FACILITY (FCF),115,441307994,16,USA,OH,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-04-08 00:00:00,2014-04-09 00:00:00,2014-04-30 00:00:00,541712,,C
Lowell Observatory,1400 W Mars Hill Rd,860014470,Flagstaff,AZ,USA,1,0,0,NNX14AG32G,0,0,19553,ASTROMETRIC FOLLOWUP OF KUIPER BELT OBJECTS AND CENTAURS,120,860014470,1,USA,AZ,2014-04-07 00:00:00,2014-05-01 00:00:00,2016-04-30 00:00:00,2016-04-30 00:00:00,2016-04-30 00:00:00,,,
California Institute Of Technology,4800 Oak Grove Dr,911098001,Pasadena,CA,USA,27,1724999936,5000,NNN13D405T,6,0,24794,,120,911098099,27,USA,CA,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-09-28 00:00:00,2014-09-28 00:00:00,2014-09-28 00:00:00,541712,USA,C
Kent State University,1500 Horning Rd,442420001,Kent,OH,USA,13,603375,6304,NNX13AN31G,2,0,31161,DEVELOPMENT OF A WATER CLARITY INDEX FOR THE SOUTHEASTERN U.S. AS A CLIMATE INDICATOR,120,442420001,13,USA,OH,2014-04-07 00:00:00,2014-04-07 00:00:00,2015-01-31 00:00:00,2015-01-31 00:00:00,2015-01-31 00:00:00,,,
North Carolina State University,2701 Sullivan Dr Ste 240 Campus Bx 7514,276957003,Raleigh,NC,USA,4,4000000000,6000,NNM14AA89P,0,0,38357,,131,276957003,4,USA,NC,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-06-30 00:00:00,2014-06-30 00:00:00,,541712,USA,C
Mainthia Technologies Incorporated,7055 Engle Rd Ste 502,441308456,Cleveland,OH,USA,16,23723936,125,NNC14J076T,0,0,42332,,122,441353127,16,USA,OH,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-09-30 00:00:00,2014-09-30 00:00:00,,561210,USA,C
University Of Chicago,5801 S Ellis Ave,606375418,Chicago,IL,USA,1,1958638208,19000,NNX14AB87G,1,0,47929,THE ARCHITECTURES OF EXTRASOLAR TERRESTRIAL SYSTEMS,120,606375418,1,USA,IL,2014-04-07 00:00:00,2014-04-07 00:00:00,2016-12-03 00:00:00,2016-12-03 00:00:00,2016-12-03 00:00:00,,,
Jones Edmunds & Associates Incorporated,730 N E Waldo Rd,326413631,Gainesville,FL,USA,,38575264,217,NNK13CA42T,2,0,47965,,130,327805800,8,USA,FL,2014-04-07 00:00:00,2014-03-31 00:00:00,2014-05-31 00:00:00,2014-05-31 00:00:00,,541330,USA,C
Seti Institute,189 Bernardo Ave # 100,940430818,Mountain View,CA,USA,18,15300000,130,NNX14AB92G,1,0,65272,ACCURATE FUNDAMENTAL PROPERTIES OF KEPLER TARGET STARS,120,940430818,18,USA,CA,2014-04-07 00:00:00,2014-04-07 00:00:00,2016-12-08 00:00:00,2016-12-08 00:00:00,2016-12-08 00:00:00,,,
Universities Space Research Association,10211 Wincopin Cir 500,210443405,Columbia,MD,USA,7,78363112,464,NNC13TA87T,6,0,82519.92,,120,441353127,16,USA,OH,2014-04-07 00:00:00,2014-04-07 00:00:00,2018-03-31 00:00:00,2018-03-31 00:00:00,2014-05-31 00:00:00,541712,USA,C
Cornell Technical Services Llc,9700 Patuxent Woods Dr. Suite 140,210462941,Columbia,MD,USA,3,4416000,30,NNL12AB04T,4,0,82927,,120,210462941,3,USA,MD,2014-04-07 00:00:00,2014-04-07 00:00:00,2015-09-23 00:00:00,2015-09-23 00:00:00,,541712,USA,C
Abacus Technology Corporation,5454 Wscnsin Ave Ste 1100,208156925,Chevy Chase,MD,USA,8,56500000,402,NNK14OH03T,0,0,94395,INFORMATION MANAGEMENT AND COMMUNICATIONS SUPPORT (IMCS),115,328990101,8,USA,FL,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-07-31 00:00:00,2014-07-31 00:00:00,,517110,USA,C
Planetary Science Institute,1700 E Fort Lowell Rd Ste 106,857192395,Tucson,AZ,USA,2,5750000,65,NNX11AF88G,5,0,116435,CHARACTERIZING SPACE WEATHERING ON MERCURY'S SURFACE USING MESSENGER EXPERIMENTAL DATA,120,857192395,2,USA,AZ,2014-04-07 00:00:00,2014-04-07 00:00:00,2015-04-28 00:00:00,2015-04-28 00:00:00,2015-04-28 00:00:00,,,
University Of Texas At Dallas,800 W Campbell Rd,750801407,Richardson,TX,USA,3,1,1,NNX14AF33G,0,0,121298,SPATIAL AND TEMPORAL CHARACTERIZATION OF CONVECTION AND PRECIPITATION BOUNDARIES IN THE AURORAL REGI,120,750801407,3,USA,TX,2014-04-07 00:00:00,2014-03-10 00:00:00,2017-03-09 00:00:00,2017-03-09 00:00:00,2017-03-09 00:00:00,,,
The Research Foundation Of State University Of New York,West 5510 Frk Mel Lib,117940001,Stony Brook,NY,USA,1,931511488,9839,NNX14AF74G,0,0,129897,DETERMINING THE INITIAL MASS FUNCTION IN THE EXTENDED ULTRAVIOLET (XUV) DISKS OF NEARBY GALAXIES,120,117940001,1,USA,NY,2014-04-07 00:00:00,2014-03-19 00:00:00,2017-03-18 00:00:00,2017-03-18 00:00:00,2017-03-18 00:00:00,,,
Universities Space Research Association,10211 Wincopin Cir 500,210443405,Columbia,MD,USA,7,78363112,464,NNC13TA83T,5,0,216514.93,,126,441353127,16,USA,OH,2014-04-07 00:00:00,2014-04-07 00:00:00,2018-03-31 00:00:00,2018-03-31 00:00:00,2014-07-31 00:00:00,541712,USA,C
Emory University,201 Dowman Dr,303221018,Atlanta,GA,USA,5,1,1,NNX14AG01G,0,0,225553,"EVALUATE, ENHANCE, AND APPLY AURA PRODUCTS IN PUBLIC HEALTH TRACKING",120,303221018,5,USA,GA,2014-04-07 00:00:00,2014-05-01 00:00:00,2017-04-30 00:00:00,2017-06-30 00:00:00,2017-04-30 00:00:00,,,
Ch2m Hill Constructors Incorporated,9189 S Jamaica St,801125946,Englewood,CO,USA,4,5422800896,19020,NNM13AA11T,12,0,348671,MSFC LOGISTICS SUPPORT SERVICES (MLSS),122,358120001,5,USA,AL,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-09-30 00:00:00,2014-09-30 00:00:00,2014-07-31 00:00:00,561210,USA,C
California Institute Of Technology,4800 Oak Grove Dr,911098001,Pasadena,CA,USA,27,1724999936,5000,NNN13D462T,8,0,581975,,120,911098099,27,USA,CA,2014-04-07 00:00:00,2014-04-07 00:00:00,2017-09-30 00:00:00,2017-09-30 00:00:00,2017-09-30 00:00:00,541712,USA,C
"Medtrust, Llc",6655 First Park Ten Blvd Ste 222,782134304,San Antonio,TX,USA,20,5959865,310,NNL10AA09C,33,0,649618,,122,236812199,2,USA,VA,2014-04-07 00:00:00,2014-04-07 00:00:00,2015-03-31 00:00:00,2015-03-31 00:00:00,2014-09-30 00:00:00,621999,USA,C
Fcn Incorporated,12315 Wilkins Ave,208521827,Rockville,MD,USA,8,32000000,28,NNJ14JC65D,0,0,748293.94,,115,208521827,8,USA,MD,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-05-08 00:00:00,2014-05-08 00:00:00,,541519,USA,D
California Institute Of Technology,4800 Oak Grove Dr,911098001,Pasadena,CA,USA,27,1724999936,5000,NNN13D200T,14,0,1876375,,120,911098099,27,USA,CA,2014-04-07 00:00:00,2014-04-07 00:00:00,2014-05-08 00:00:00,2014-05-08 00:00:00,2014-05-08 00:00:00,541712,USA,C
Valador Incorporated,560 Herndon Pkwy Ste 300,201705239,Herndon,VA,USA,11,630000,11,NNH12CE20D,13,0,2176614,IPCE,122,201705239,11,USA,VA,2014-04-07 00:00:00,2014-04-07 00:00:00,2015-09-30 00:00:00,2015-09-30 00:00:00,2015-08-20 00:00:00,541611,USA,C
Russia Space Agency,42 Shchepkin Street,0,Moscow,,RUS,,0,0,NAS1510110,262,0,8.563554E7,,115,,,RUS,,2014-04-07 00:00:00,2014-04-07 00:00:00,2018-06-30 00:00:00,2018-06-30 00:00:00,,927110,RUS,B
University Of Arizona,888 N Euclid Ave,857194824,Tucson,AZ,USA,3,812284992,10000,NNX13AG37G,1,0,-162783,LABORATORY MEASUREMENTS OF THE OPTICAL CONSTANTS OF ORGANIC AEROSOL ANALOGUES IN THE ATMOSPHERES OF,120,857194824,3,USA,AZ,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-04-08 00:00:00,,,
Michigan Technological University,1400 Townsend Dr,499311200,Houghton,MI,USA,1,209211888,1642,NNX12AK31G,3,0,-151711.43,,120,499311200,1,USA,MI,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-04-08 00:00:00,,,
Re/max Affiliates-relo. Services,13580 Groupe Dr Ste 400,221924166,Woodbridge,VA,USA,11,17317084,36,NNX13AA06T,45,0,-34692.6,AGVY - AGENCY WIDE RELOCATION SERVICES,120,223101720,8,USA,VA,2014-04-08 00:00:00,2014-04-08 00:00:00,2013-09-30 00:00:00,2013-09-30 00:00:00,,531390,USA,C
"Constellation Software Engineering, Corporation",7404 Executive Place Ste 102,207066230,Lanham,MD,USA,5,5000000,30,NNG09CP11C,59,0,-15788,,115,207710003,5,USA,MD,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-08-10 00:00:00,2014-08-10 00:00:00,2014-08-10 00:00:00,541690,USA,C
Webucator Incorporated,175 Brookside Ln,130661543,Fayetteville,NY,USA,24,800000,2,NNX14TA94D,1,0,-2845.25,,4546,770583696,36,USA,TX,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-04-08 00:00:00,,611420,USA,C
Humanomics Incorporated,10814 Oak Hollow St,770243017,Houston,TX,USA,7,5000,1,NNX14TB96P,0,0,2875,,4546,770583696,36,USA,TX,2014-04-08 00:00:00,2014-04-15 00:00:00,2014-04-15 00:00:00,2014-05-15 00:00:00,,541618,USA,C
"American Fire Technologies, In",2120 Capital Dr,284056461,Wilmington,NC,USA,7,11402381,22,NNL14AA43D,0,0,3422.21,,130,284056461,7,USA,NC,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-04-15 00:00:00,2014-04-15 00:00:00,,315999,USA,D
"Affigent, Llc",13873 Park Center Road Ste 127,201713248,Herndon,VA,USA,10,151655216,97,NNG14VH36D,0,0,4321,,122,201713248,10,USA,VA,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-11-30 00:00:00,2014-11-30 00:00:00,,541519,USA,D
Carahsoft Technology Corporation,12369 Sunrise Valley Dr Ste D2,201915430,Reston,VA,USA,11,900000000,180,NNX14MC56D,0,0,7493.68,,122,201915430,11,USA,VA,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-09-18 00:00:00,2014-09-18 00:00:00,,443120,USA,D
"Thundercat Technology, Llc",1775 Wiehle Ave Ste 101,201905109,Reston,VA,USA,11,54000000,15,NNK14LA30D,0,0,7966.19,,115,201905109,11,USA,VA,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-05-16 00:00:00,2014-05-16 00:00:00,,541519,USA,D
Technical Communities Incorporated,1111 Bayhill Dr Ste 400,940663043,San Bruno,CA,USA,14,50000000,27,NNC14VB36P,0,0,8644,,126,,,HUN,,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-04-24 00:00:00,2014-04-24 00:00:00,,334513,HUN,H
Carl Zeiss Microscopy Llc.,1 Zeiss Dr,105941939,Thornwood,NY,USA,17,5500000256,24100,NNA14PC73W,0,0,9895.41,,124,940350001,18,USA,CA,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-05-22 00:00:00,2014-05-22 00:00:00,,333314,USA,D
Kiewit Building Group Incorporated,302 S 36th St Ste 500,681313894,Omaha,NE,USA,2,9311666176,24700,NNJ13JB38T,4,0,12844.74,REFURBISH NORTH WING PROJECT ENGINEERING BUILDING 45,130,222023561,8,USA,VA,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-12-30 00:00:00,2014-12-30 00:00:00,,236220,USA,C
Ocean Optics Incorporated,830 Douglas Ave,346984942,Dunedin,FL,USA,13,1000000000,4500,NNG14HC17P,0,0,13711,,122,346984942,13,USA,FL,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-05-08 00:00:00,2014-05-08 00:00:00,,334516,USA,D
"Greystone Consulting Group, The Incorporated",432 Cranes Roost Ct,214095748,Annapolis,MD,USA,3,250000,2,NNG09AZ26C,24,0,17212.8,LDEM,122,207710003,5,USA,MD,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-04-21 00:00:00,2014-04-21 00:00:00,2014-04-21 00:00:00,611430,USA,C
Management Concepts Incorporated,8230 Leesburg Pike Ste 800,221822641,Tysons Corner,VA,USA,11,2660000,115,NNX14TB89D,0,0,19294,,4546,770583696,36,USA,TX,2014-04-08 00:00:00,2014-08-12 00:00:00,2014-08-14 00:00:00,2014-08-14 00:00:00,,611310,USA,C
University Of Texas At Austin,101 East 27th Street Ste 4308,787121500,Austin,TX,USA,25,2220000000,22956,NNX14AB86G,1,0,21495,CHARACTERIZATION OF THE STELLAR POPULATION IN THE KEPLER FIELD: PUTTING KEPLER'S SMALL PLANETS INTO,120,787121500,25,USA,TX,2014-04-08 00:00:00,2014-04-08 00:00:00,2016-12-04 00:00:00,2016-12-04 00:00:00,2016-12-04 00:00:00,,,
Infozen Incorporated,6700a Rockledge Dr Ste 300,20817,Bethesda,MD,USA,,16000000,75,NNX14MB02D,0,0,24591.41,,4546,208177834,8,USA,MD,2014-04-08 00:00:00,2014-04-07 00:00:00,2014-05-23 00:00:00,2014-05-23 00:00:00,,541513,USA,C
T. Simons Co Incorporated,230 W Tefft St,934448848,Nipomo,CA,USA,24,13000000,19,NND13FF15T,2,0,33141.55,GENERAL CONSTRUCTION,130,935230273,23,USA,CA,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-06-11 00:00:00,2014-06-11 00:00:00,,236220,USA,C
Vj Supply Incorporated,838 Sussex Blvd Fl 2,190084309,Broomall,PA,USA,7,1400000,2,NNL14AB96P,0,0,33283.55,,126,190084309,7,USA,PA,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-06-03 00:00:00,2014-06-03 00:00:00,,423840,USA,D
Fei Company,5350 Ne Dawson Crk Dr,971245793,Hillsboro,OR,USA,1,679329984,2200,NNL13AC98P,1,0,34812,,122,236812199,2,USA,VA,2014-04-08 00:00:00,2014-04-11 00:00:00,2015-04-10 00:00:00,2015-04-10 00:00:00,,334516,USA,C
"Delcross Technologies, Llc","301 N. Neil St, Suite 302",618203167,Champaign,IL,USA,13,2600000,17,NNK14LA50P,0,0,35864,,115,618203167,13,USA,IL,2014-04-08 00:00:00,2014-04-08 00:00:00,2015-06-18 00:00:00,2015-06-18 00:00:00,,541330,USA,C
Esi North America Incorporated,32605 W 12 Mile Rd Ste 350,483343379,Farmington Hills,MI,USA,14,80000000,800,NNJ14JA14P,0,0,36678,,124,483343379,14,USA,MI,2014-04-08 00:00:00,2014-04-30 00:00:00,2015-04-29 00:00:00,2015-04-29 00:00:00,,511210,USA,D
Immixtechnology Incorporated,8444 Westpark Dr Ste 200,221025112,Mc Lean,VA,USA,11,36001856,201,NNA14SA37D,0,0,38522.86,,120,940350001,18,USA,CA,2014-04-08 00:00:00,2014-04-08 00:00:00,2015-03-31 00:00:00,2015-03-31 00:00:00,,541519,USA,D
University Of Notre Dame Du Lac,940 Grace Hall,46556,Notre Dame,IN,USA,,716512000,9999,NNX14AB85G,1,0,46222,DEEP AO IMAGING VALIDATION OF KOI'S USING THE LARGE BINOCULAR TELESCOPE,120,465565612,2,USA,IN,2014-04-08 00:00:00,2014-04-08 00:00:00,2016-12-03 00:00:00,2016-12-03 00:00:00,2016-12-03 00:00:00,,,
Leland Stanford Junior University,450 Serra Mall,943052004,Stanford,CA,USA,18,380000000,9800,NNX10AF42G,10,0,66941,,120,943052004,18,USA,CA,2014-04-08 00:00:00,2014-04-08 00:00:00,2015-03-28 00:00:00,2015-03-28 00:00:00,2015-03-28 00:00:00,,,
 Trustees Of Princeton University,1 Nassau Hall,85442001,Princeton,NJ,USA,12,1451075968,5960,NNX14AE11G,1,0,71782,COMPLETING THE KEPLER CENSUS OF EARTH-LIKE PLANETS,120,85442001,12,USA,NJ,2014-04-08 00:00:00,2014-04-08 00:00:00,2017-02-10 00:00:00,2017-02-10 00:00:00,2017-02-10 00:00:00,,,
Sam Houston State University,1806 Ave J,773410001,Huntsville,TX,USA,,226737664,2814,NNX12AH11G,3,0,84734,ASSET - ASTRONOMY SUMMER SCHOOL OF EAST TEXAS,120,773412392,8,USA,TX,2014-04-08 00:00:00,2014-04-08 00:00:00,2015-04-30 00:00:00,2015-04-30 00:00:00,2015-04-30 00:00:00,,,
University Of Massachusetts,70 Butterfield Terrace,10039242,Amherst,MA,USA,2,130000000,4500,NNX14AF80G,0,0,95532,A QUANTITATIVE ANALYSIS OF PRE-PROCESSING IN THE COMA AND PERSEUS-PISCES SUPERCLUSTERS USING GALEX A,120,10039242,2,USA,MA,2014-04-08 00:00:00,2014-03-19 00:00:00,2016-03-18 00:00:00,2016-03-18 00:00:00,2016-03-18 00:00:00,,,
The Aerospace Corporation,2310 East El Segundo Blvd,902454609,El Segundo,CA,USA,33,790000000,4000,NNM14AA18T,0,0,99928.78,"INDEPENDENT SPECIAL STUDIES, TECHNICAL SYSTEMS ANALYSES AND ASSESSMENTS FOR MSFC",122,902454609,33,USA,CA,2014-04-08 00:00:00,2014-04-08 00:00:00,2014-06-16 00:00:00,2014-06-16 00:00:00,,541690,USA,C
Carnegie Institution Of Washington,1530 P St Nw,200051910,Washington,DC,USA,0,62600000,420,NNX12AE19G,3,0,117995,THE WISE NEARBY GALAXY ATLAS,120,200051910,0,USA,DC,2014-04-08 00:00:00,2014-04-08 00:00:00,2015-04-30 00:00:00,2015-04-30 00:00:00,2015-04-30 00:00:00,,,
Jacobs Technology Incorporated,600 William Northern Blvd,373884729,Tullahoma,TN,USA,6,87,8000,NNK11CA41T,7,0,145897,,124,373884729,6,USA,TN,2014-04-08 00:00:00,2014-04-07 00:00:00,2014-09-24 00:00:00,2014-09-24 00:00:00,,541330,USA,C
